id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
131,17,FZB42,1.00E+07,18.292109,10.993953,0.63880473,0.17869696,60,3.6923177,1.2931885,166.208671,184.50078,0.044294913,Exp1
132,17,FZB42,1.00E+07,25.877523,11.84765,0.5283156,0.12923339,58,7.0854263,3.7924137,105.0070447,130.8845677,0.050339861,Exp1
133,17,FZB42,1.00E+07,14.052374,8.752276,0.557329,0.16782895,63,4.728864,1.7360877,194.5522996,208.6046736,0.042388236,Exp1
134,17,FZB42,1.00E+07,18.785429,13.869745,0.96508414,0.21146758,58,3.1951327,1.9497836,169.0078526,187.7932816,0.045687959,Exp1
135,17,FZB42,1.00E+07,28.613594,14.684038,0.72804904,0.15066804,82,3.9259305,1.1079508,260.6334054,289.2469994,0.044244553,Exp1
136,17,FZB42,1.00E+07,21.210972,13.479595,0.7989852,0.18371777,65,3.0644517,1.6565247,218.2921834,239.5031554,0.050842986,Exp1
137,18,FZB42,1.00E+08,19.23706,14.293803,1.0590117,0.20344593,67,3.5674083,0.894967,134.4115183,153.6485783,0.040217756,Exp1
138,18,FZB42,1.00E+08,18.214542,10.03971,0.59489435,0.15444487,53,3.4203615,1.4121604,79.17895006,97.39349206,0.038377206,Exp1
139,18,FZB42,1.00E+08,18.051245,11.0564,0.6969558,0.15388997,66,3.918827,1.0473362,132.5407716,150.5920166,0.046690513,Exp1
140,18,FZB42,1.00E+08,27.880602,15.969253,0.8998168,0.16490634,29,2.456799,0.81075644,107.4744945,135.3550965,0.06094747,Exp1
141,18,FZB42,1.00E+08,25.702967,13.280954,0.73935133,0.117287196,60,4.2125297,2.049934,161.1855396,186.8885066,0.045982612,Exp1
142,18,FZB42,1.00E+08,27.43573,13.833261,0.6629428,0.14235255,26,1.5719907,0.89699054,75.92496812,103.3606981,0.056879313,Exp1
143,18,FZB42,1.00E+08,17.673792,12.384851,0.89370424,0.19582938,45,2.9570127,0.9927849,118.7211074,136.3948994,0.050457211,Exp1
144,18,FZB42,1.00E+08,19.431366,13.663525,0.9262483,0.20564523,45,3.1490064,1.1207807,106.5101551,125.9415211,0.046079626,Exp1
145,19,MBI600,control,24.814297,15.598366,0.912277,0.18267322,59,3.1139963,1.835333,154.1668892,178.9811862,0.044438567,Exp1
146,19,MBI600,control,22.895977,12.797145,0.6960315,0.15727402,53,3.351465,0.8296871,100.5978381,123.4938151,0.049306249,Exp1
147,19,MBI600,control,19.492266,12.436906,0.6943221,0.18641326,43,2.4020107,5.5859394,117.6300293,137.1222953,0.04614811,Exp1
148,19,MBI600,control,18.016151,7.3100166,0.26012498,0.11723532,86,5.336541,0.6971794,148.8959113,166.9120623,0.03913488,Exp1
149,19,MBI600,control,21.038073,10.925512,0.51071525,0.1483514,52,3.8115656,0.757614,104.1169921,125.1550651,0.041150221,Exp1
